# t [s], p1 [Pa], p2 [Pa], mobA [kg], immA [kg], dissA [kg], sealA [kg], mobB [kg], immB [kg], dissB [kg], sealB [kg], mC [m^2], sealTot [kg], boundary [kg]
0.0000e+00, 2.825e+07, 2.234e+07, 0.000e+00, 0.000e+00, 2.744e-01, 2.588e-02, 0.000e+00, 0.000e+00, 1.741e-01, 2.097e-02, nan, 1.123e-01, 9.026e+00
3.1557e+07, 2.825e+07, 2.234e+07, 0.000e+00, 0.000e+00, 2.744e-01, 2.588e-02, 0.000e+00, 0.000e+00, 1.741e-01, 2.097e-02, nan, 1.123e-01, 9.026e+00
6.3114e+07, 2.856e+07, 2.240e+07, 0.000e+00, 0.000e+00, 2.744e-01, 2.588e-02, 0.000e+00, 0.000e+00, 1.741e-01, 2.097e-02, nan, 1.123e-01, 9.027e+00
7.9821e+07, 2.878e+07, 2.249e+07, 0.000e+00, 0.000e+00, 2.744e-01, 2.589e-02, 0.000e+00, 0.000e+00, 1.741e-01, 2.097e-02, nan, 1.564e+01, 9.027e+00
8.9844e+07, 2.890e+07, 2.255e+07, 0.000e+00, 0.000e+00, 2.744e-01, 2.589e-02, 0.000e+00, 0.000e+00, 1.742e-01, 2.097e-02, nan, 3.456e+01, 9.028e+00
9.8046e+07, 2.897e+07, 2.258e+07, 0.000e+00, 0.000e+00, 2.744e-01, 2.589e-02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 4.834e+01, 9.028e+00
1.0859e+08, 2.902e+07, 2.261e+07, 0.000e+00, 0.000e+00, 2.744e-01, 2.589e-02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 6.054e+01, 9.028e+00
1.2441e+08, 2.909e+07, 2.266e+07, 0.000e+00, 0.000e+00, 2.745e-01, 2.589e-02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 8.039e+01, 9.028e+00
1.4104e+08, 2.918e+07, 2.272e+07, 0.000e+00, 0.000e+00, 2.745e-01, 2.589e-02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 1.471e+02, 9.028e+00
1.5768e+08, 2.928e+07, 2.280e+07, 0.000e+00, 0.000e+00, 2.771e-01, 2.589e-02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 3.545e+02, 9.029e+00
1.7432e+08, 2.937e+07, 2.287e+07, 0.000e+00, 0.000e+00, 3.086e+01, 3.259e-02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 7.135e+02, 9.029e+00
1.9095e+08, 2.947e+07, 2.295e+07, 1.052e+04, 1.443e+03, 5.593e+03, 5.124e+00, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 1.229e+03, 9.029e+00
2.0592e+08, 2.956e+07, 2.303e+07, 6.563e+04, 6.993e+02, 1.853e+04, 1.705e+01, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 1.877e+03, 9.030e+00
2.1940e+08, 2.964e+07, 2.311e+07, 1.470e+05, 1.737e+03, 2.798e+04, 3.112e+01, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 2.546e+03, 9.030e+00
2.3288e+08, 2.971e+07, 2.317e+07, 2.373e+05, 4.239e+03, 3.533e+04, 4.510e+01, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 3.220e+03, 9.030e+00
2.5020e+08, 2.978e+07, 2.324e+07, 3.448e+05, 1.583e+01, 4.512e+04, 6.062e+01, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 3.986e+03, 9.030e+00
2.6969e+08, 2.987e+07, 2.333e+07, 4.924e+05, 1.254e+02, 5.788e+04, 1.310e+02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 5.139e+03, 9.031e+00
2.8066e+08, 2.998e+07, 2.343e+07, 6.777e+05, 1.452e+03, 7.444e+04, 3.038e+02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 6.616e+03, 9.031e+00
2.9162e+08, 3.004e+07, 2.348e+07, 7.953e+05, 7.643e+02, 7.905e+04, 4.351e+02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 7.505e+03, 9.031e+00
3.0258e+08, 3.009e+07, 2.354e+07, 9.156e+05, 2.651e+03, 8.486e+04, 5.992e+02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 8.446e+03, 9.031e+00
3.1536e+08, 3.015e+07, 2.360e+07, 1.042e+06, 2.023e+03, 9.231e+04, 7.976e+02, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 9.437e+03, 9.032e+00
3.3179e+08, 3.022e+07, 2.366e+07, 1.193e+06, 2.129e+03, 1.021e+05, 1.078e+03, 0.000e+00, 0.000e+00, 1.742e-01, 2.098e-02, nan, 1.067e+04, 9.032e+00
3.5027e+08, 3.030e+07, 2.375e+07, 1.393e+06, 1.980e+03, 1.154e+05, 1.525e+03, 0.000e+00, 0.000e+00, 1.742e-01, 2.099e-02, nan, 1.238e+04, 9.032e+00
3.7106e+08, 3.040e+07, 2.384e+07, 1.623e+06, 2.191e+03, 1.292e+05, 2.149e+03, 0.000e+00, 0.000e+00, 1.742e-01, 2.099e-02, nan, 1.447e+04, 9.032e+00
3.9445e+08, 3.050e+07, 2.395e+07, 1.886e+06, 3.458e+03, 1.463e+05, 2.977e+03, 0.000e+00, 0.000e+00, 1.743e-01, 2.099e-02, nan, 1.702e+04, 9.033e+00
